age_rating;index_fk;index_cl;index_dc;index_ari;index_SMOG;avg_words_len;avg_sent_len;med_sent_len;med_words_len;avg_count_syl;many_syllables;len_text;ttr;ttr_a;ttr_n;ttr_v;nav;count_v;count_s;count_adj;words_fr;words_r;words_d;words_doc;v_fr;v_r;v_d;v_doc;s_fr;s_r;s_d;s_doc;adv_fr;adv_r;adv_d;adv_doc;adj_fr;adj_r;adj_d;adj_doc;prop_fr;prop_r;prop_d;prop_doc;5000_proc;5000_freq;pos_fact;pos_opinion;pos_feeling;neg_fact;neg_opinion;neg_feeling
0.75;8.676354997943228;9.434705882352944;5.989467914438503;9.621007918552031;6.8462489654220295;7.0546875;85.35;77;7;2.578125;0.03125;3397;0.80859375;0.8571428571428571;0.6946564885496184;1.0;1.5517993456924755;0.2109375;0.421875;0.12109375;283.03991416309003;91.81974248927038;91.56652360515021;4139.678111587983;145.3351851851851;91.55555555555556;92.57407407407408;3139.740740740741;207.67592592592595;90.92592592592592;89.92592592592592;3167.3703703703704;163.41875;92.75;93.875;3803.4375;91.80322580645162;89.19354838709677;92.29032258064517;2547.3548387096776;314.2;96.5;85.75;6112.75;0.59375;0.1574342105263158;0.0;0.04830917874396135;0.004830917874396135;0.004830917874396135;0.057971014492753624;0.00966183574879227
0.75;12.315455855855845;9.582162162162163;11.282221621621623;11.027009909909907;12.862049016453224;6.94921875;161.4;178;6;2.640625;0.078125;3183;0.75390625;0.7592592592592593;0.7181818181818181;1.0;1.4774410774410773;0.20703125;0.39453125;0.12890625;831.8702380952378;94.92460317460318;92.34126984126983;7445.769841269841;1822.483018867924;96.62264150943396;93.64150943396227;8325.735849056604;244.73168316831692;92.53465346534654;91.0;4441.108910891089;329.4238095238096;98.80952380952381;94.47619047619048;6752.380952380952;208.06363636363633;95.6969696969697;91.96969696969697;5174.424242424242;12.333333333333334;83.0;79.33333333333333;231.0;0.703125;2.302888888888889;0.0051813471502590676;0.06217616580310881;0.025906735751295335;0.015544041450777202;0.04145077720207254;0.0051813471502590676
0.75;7.382561447286335;7.731135371179043;6.110624454148472;7.610576107298812;7.006182587488356;7.265625;83.8;86;7;2.74609375;0.07421875;3396;0.8125;0.7321428571428571;0.7837837837837838;1.0;1.515926640926641;0.1796875;0.3828125;0.12890625;456.0450980392157;95.12549019607843;92.5921568627451;5759.498039215686;815.158695652174;98.21739130434783;95.1086956521739;6355.45652173913;215.34591836734677;93.15306122448979;90.79591836734694;3715.4795918367345;242.4709677419354;96.0;94.19354838709677;4706.548387096775;116.60606060606061;98.0;93.3030303030303;3339.6363636363635;40.709999999999994;84.0;81.8;1018.4;0.6640625;1.027235294117647;0.004807692307692308;0.028846153846153848;0.004807692307692308;0.028846153846153848;0.0625;0.004807692307692308
1;13.705057174887884;11.463721973094174;12.06548038116592;14.395080997757852;13.311730656290681;7.26171875;215.125;259;7;2.6796875;0.0703125;3382;0.8828125;0.8958333333333334;0.868421052631579;1.0;1.7642543859649122;0.1875;0.37890625;0.12109375;507.7468879668046;95.14522821576763;92.88381742738589;5393.045643153527;1164.4083333333333;96.45833333333333;94.41666666666667;6226.458333333333;204.97010309278352;95.41237113402062;91.78350515463917;4090.175257731959;201.89999999999998;93.28;93.8;4520.4;87.53870967741936;95.0;91.61290322580645;2332.9032258064517;32.959999999999994;74.0;85.6;1115.2;0.640625;0.20567073170731706;0.01327433628318584;0.048672566371681415;0.022123893805309734;0.004424778761061947;0.03982300884955752;0.01327433628318584
0.75;5.742146739130433;5.696086956521743;4.3621875;6.140963315217398;4.9923552077931435;6.9453125;53.935483870967744;42;7;2.62109375;0.04296875;3249;0.72265625;0.7307692307692307;0.6055045871559633;0;0;0.23828125;0.33203125;0.15234375;537.8525691699607;94.78656126482214;92.91699604743083;5764.189723320158;952.5245901639341;96.91803278688525;94.36065573770492;5675.229508196721;174.89647058823527;90.8;91.61176470588235;3333.2235294117645;358.9200000000001;99.25;95.95;7289.1;130.75384615384615;98.12820512820512;94.48717948717949;3623.3076923076924;58.30555555555554;85.88888888888889;82.27777777777777;1218.0555555555557;0.66796875;0.28169590643274856;0.010810810810810811;0.07027027027027027;0.016216216216216217;0.010810810810810811;0.05405405405405406;0.016216216216216217
0.75;4.882624434389136;1.0170588235294176;3.462941176470588;3.6184570135746554;3.795636777878345;6.58203125;96.93333333333334;60;6;2.4921875;0.0390625;2942;0.7109375;0.7380952380952381;0.7586206896551724;0;0;0.22265625;0.34375;0.05859375;900.0316666666665;97.38333333333334;94.01666666666667;8454.804166666667;1775.4385964912283;98.84210526315789;95.91228070175438;10910.421052631578;271.51250000000005;97.7840909090909;93.07954545454545;4839.045454545455;303.3071428571429;99.57142857142857;95.75;6662.857142857143;89.76666666666667;94.13333333333334;93.26666666666667;2662.266666666667;17.82222222222222;70.44444444444444;75.77777777777777;437.22222222222223;0.71484375;0.18797814207650274;0.02197802197802198;0.06043956043956044;0.01098901098901099;0.016483516483516484;0.016483516483516484;0.005494505494505495
0.75;5.4758135168961175;4.7976595744680886;5.6452096370463085;5.262154255319146;6.114981450919697;6.92578125;57.0;59;6;2.5859375;0.0546875;3192;0.82421875;0.6756756756756757;0.8791208791208791;0;0;0.25;0.3125;0.05859375;484.97668161434984;92.57847533632287;93.00448430493273;5895.452914798207;331.86875000000003;92.625;93.203125;4802.0;112.27625;90.025;91.2625;2257.275;296.33548387096766;94.70967741935483;94.74193548387096;5936.225806451613;121.32666666666665;88.46666666666667;93.0;3096.6666666666665;71.625;94.75;83.25;1587.75;0.54296875;0.5553237410071943;0.009478672985781991;0.03317535545023697;0.014218009478672985;0.018957345971563982;0.04739336492890995;0.014218009478672985
0.75;9.814700946112708;9.68357466063349;7.233234471410942;10.739210407239817;7.1028008620689125;7.15234375;149.33333333333334;102;7;2.3125;0.0078125;3119;0.83203125;0.9411764705882353;0.7916666666666666;1.0;1.732843137254902;0.01953125;0.03125;0.01953125;176.62962962962962;76.88888888888889;83.5925925925926;3008.1111111111113;74.72;40.4;58.4;2019.2;470.6625;88.0;92.375;6422.75;3.9;81.0;92.0;267.0;30.839999999999996;88.8;88.4;1188.6;10.366666666666667;82.83333333333333;85.0;284.6666666666667;0.0390625;102.50999999999999;0.0;0.014084507042253521;0.0;0.0;0.0;0.0
0.75;3.8129266247379405;6.007264150943396;3.4454423480083864;6.212538784067085;3.8546268128668264;7.12109375;90.94736842105263;52;7;2.3828125;0.046875;3292;0.8515625;0.9629629629629629;0.8283582089552238;1.0;1.7913211719181867;0.015625;0.046875;0.0078125;1236.35;88.13636363636364;88.22727272727273;5567.045454545455;6497.075000000001;100.0;97.5;22910.5;76.45;93.58333333333333;86.0;1737.75;3.9;81.0;92.0;267.0;138.85;67.5;88.0;4634.0;5.699999999999999;76.0;82.5;183.0;0.04296875;3.316363636363636;0.0;0.009174311926605505;0.0;0.0;0.0;0.0
0.75;11.860436090225555;12.957280701754392;8.319684210526315;13.861213032581453;9.501590946955513;7.63671875;148.07692307692307;143;7;2.5546875;0.046875;3634;0.82421875;0.9761904761904762;0.7753623188405797;1.0;1.7515527950310559;0.02734375;0.046875;0.01953125;681.3625000000001;75.58333333333333;85.83333333333333;4060.4166666666665;2111.057142857143;74.28571428571429;81.28571428571429;8227.142857142857;74.05833333333334;72.0;86.83333333333333;1752.4166666666667;0;0;0;0;137.32;86.0;89.8;3766.2;0;0;0;0;0.04296875;4.991818181818181;0.0;0.009478672985781991;0.0;0.009478672985781991;0.014218009478672985;0.0
